ticket_text,category,priority
Is there a student discount available for the Starter tier,Product,medium
Does the product support integration with Zapier,Product,medium
How do I update my shipping address to Bangalore,Account,medium
I want to change the email address on my account to newmail@example.com,Account,low
Can I use this software offline without internet,Product,low
Need a copy of my last twelve invoices for tax purposes,Billing,low
"Can you verify my account, the badge is missing - this is urgent, please help ASAP",Account,medium
Is there a mobile app version available for iOS,Product,medium
"I want to change the email address on my account to newmail@example.com - this is urgent, please help ASAP",Account,medium
Two-factor authentication code never arrives via email,Technical,medium
Is there a mobile app version available for Android,Product,low
"Subscription renewed automatically without my consent - this is very time sensitive, please help ASAP",Billing,high
Do you offer a free trial before upgrading to Enterprise,Product,low
The app keeps crashing every time I open the analytics tab,Technical,medium
"How many users can I add under one license - this is very time sensitive, please help ASAP",Product,medium
What file formats are supported for export,Product,low
The reports module throws an error every time I click save,Technical,medium
Unable to change my password from the settings page,Account,low
"Someone else may have accessed my account without permission - this is urgent, please help ASAP",Account,medium
Page is loading extremely slowly on Safari,Technical,low
"I was charged twice for my Basic subscription this month - this is very time sensitive, please help ASAP",Billing,high
Does the Enterprise plan include access to premium templates,Product,low
"Need to merge two accounts into one under personal@example.com - this is urgent, please help ASAP",Account,medium
"I was charged twice for my Starter subscription this month - this is very time sensitive, please help ASAP",Billing,high
"Need a copy of my last three invoices for tax purposes - this is very time sensitive, please help ASAP",Billing,high
I'm being charged for a plan I already downgraded from,Billing,high
"Can you verify my account, the badge is missing",Account,medium
"Subscription renewed automatically without my consent - this is very time sensitive, please help ASAP",Billing,high
Can I customize the billing dashboard layout,Product,low
"Sync between devices stopped working after the last update - this is critical, please help ASAP",Technical,high
"I'm being charged for a plan I already downgraded from - this is urgent, please help ASAP",Billing,high
Does the product support integration with Slack,Product,low
"Website is completely down, cannot access dashboard - this is critical, please help ASAP",Technical,high
Why was I billed after canceling my Starter plan,Billing,medium
Can you explain the extra $19.99 fee on my latest bill,Billing,medium
"Please help me delete my account permanently - this is very time sensitive, please help ASAP",Account,medium
My account was suspended for no clear reason,Account,medium
Is there a student discount available for the Pro tier,Product,low
My account was suspended for no clear reason,Account,medium
"Can you verify my account, the badge is missing - this is urgent, please help ASAP",Account,medium
I'm being charged for a plan I already downgraded from,Billing,high
Does the Premium plan include access to premium templates,Product,low
Need a copy of my last six invoices for tax purposes,Billing,low
